name,games played,wins,losses,last_played,ts_elo,ts_mu,ts_sigma
SPARTAN9323,7,1,6,2019-04-18,1303.517714717527,16.749346001325506,6.048635658626278
SPEEDY,37,22,15,2020-01-28,1602.6065157838602,25.27299130835476,3.5976439642059908
SPIELEAUX,3,1,2,2022-12-02,1289.7466931409053,16.356889637141755,6.178321116068524
SPILARINN,46,18,28,2020-03-28,1431.9470403351265,20.409416236929548,2.3242289718621527
STALKERBLAZE,1,0,1,2023-02-26,1425.1591037728808,20.215968794508033,7.4662795447009955
STORMTROUT,1408,769,639,2024-01-28,1868.6484579847247,32.854843734886835,1.2308124521556354
STRANGER491,83,24,59,2021-05-03,1177.3024755403158,13.152374375330679,4.002168385095733
STUMCGOO,605,284,321,2024-01-31,1666.1102331595484,27.08276539771676,1.7681065894240526
SUGASWISH,40,15,25,2022-11-21,1493.3066182072428,22.15808511422049,4.242621274737729
TALKSLOW4ME,68,30,38,2021-12-21,1440.470154590997,20.652314006987517,4.740599939050403
TAMMO_KORSAI,4,3,1,2020-02-18,1511.7906528984786,22.68485627712998,5.964287684844996
TARGETDRONE,2,0,2,2020-04-24,1190.4886986701486,13.528164737582033,5.954659380620533
TARTANTYCO,59,23,36,2024-01-09,1226.4008241150011,14.55161402228318,4.321935120483629
TERRAPIN,94,41,53,2024-01-31,1406.1792088314787,19.67506625362918,2.596682402410421
THE ANCHOR,142,74,68,2019-07-13,1638.7628235370848,26.303399474095233,1.5841346620003303
THE EVIL FOX,1,1,0,2019-04-01,1758.793740112658,29.724125877491716,7.789637229937058
THE IMPERIAL,1,1,0,2023-01-02,1647.4060286574213,26.5497196789942,7.7372386364875005
THEICELANDICMANIAC,98,40,58,2020-04-22,1475.119124480067,21.63976498654749,1.639819214601847
THELIFE,2,0,2,2020-01-09,1234.2461159627649,14.775194727418425,6.52168511847736
THEONEHANDEDMAN,133,66,67,2021-05-26,1526.1816186930027,23.09498025242021,3.5780886631283053
THEVOLSKINATOR,1,0,1,2019-05-27,1332.2425091813698,17.567965617486966,7.108814680390922
THOR,77,41,36,2024-01-31,1525.4007906213783,23.072727658860817,1.7938727423760172
THTB,16,6,10,2019-04-01,1320.4544395215628,17.232020826921357,4.707984911505685
TIDDYKONG,14,7,7,2020-04-04,1648.420342733527,26.5786263227195,3.697417367937192
TIGERTANK,3,3,0,2020-04-16,1840.0747166028198,32.04052893685424,6.647087311417089
TOMMYGENERAL,78,39,39,2022-04-03,1763.5177258303338,29.858753381261113,4.661044500275716
TOPBUM,59,36,23,2020-04-23,1711.4858146069455,28.375910980162192,2.862663640023528
TPSDUDE,8,3,5,2019-05-19,1269.5443546794284,15.781149031661863,5.03683256248706
TRAPMAKER,202,85,117,2023-11-18,1515.2889003277824,22.784551819648808,5.219070043511428
TURBO BALT,64,30,34,2020-10-28,1365.3619558818166,18.511827157715814,2.2270191053860917
UNLIMITED,672,313,359,2024-01-04,1437.7828885606223,20.575730388988852,2.2690584143545447
